Gene	ID5_5	transcript Regulated	unknown or postrranslational regulated	Process	Contained in BLAST_curated_JIN_TF.txt
CHR1/ COP3	Cre14.g611300		PHOT1/2	Fast Phototaxis, Photophobic responses, High light sensing	
CHR2/ COP4	Cre02.g085257			Slow Phototaxis, Low light sensing	
LHCBM1	Cre01.g066917			PSII Antenna protein, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size, putative binding fo LHCSR3	
LHCBM2	Cre12.g548400			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM3	Cre04.g232104			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM4	Cre06.g283950			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM5	Cre03.g156900			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM6	Cre06.g285250			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM7	Cre12.g548950			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM8	Cre06.g284250			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCBM9	Cre06.g284200			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCB4	Cre17.g720250			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCB5	Cre16.g673650			PSII Antenna proteins, inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCB7	Cre02.g110750			PSII Antenna proteins,  inhibition of transcription 1-2h after HL induction (transient) to reduce antenna size	
LHCSR1	Cre08.g365900	(CrCO), NF-YB, NF-YC, CIA5/CCM1	UVR8, biliverdin, DET1, DDB1	qE	
LHCSR3.1	Cre08.g367500	(CrCO), NF-YB, NF-YC	PHOT, UVR8, DET1, DDB1, CUL4, SPA1, ROC75, CAS	qE, Thylakoid membran proton gradient sensing	
LHCSR3.2	Cre08.g367400	(CrCO), NF-YB, NF-YC	PHOT, UVR8, DET1, DDB1,  CUL4, SPA1, ROC 75, CAS	qE, Thylakoid membran proton gradient sensing	
PSBR	Cre06.g261000			Binding of LHCSR3 into the LHC	
VDR1	Cre09.g388060			Violaxanthin deepoxidase related put. enables qZ -> Violaxanthin to Zeaxanthine 	
ZEP1	Cre02.g082550			disables qZ -> Zeaxanthine to Biolaxanthine	
STT7	Cre02.g120250			Enables qT -> Serine/Threonin Kinase phosphorylating LHCBM proteins and LHCSR3	
SOR1	Cre07.g321550			ROS sensing transcription factr	
MBS				Zinc Finger Protein involved in singlet Oxigen reponse	
PSBP2	Cre16.g678851			Chloroplast protein involved in singlet Oxygen response	
SAK1	Cre17.g741300			Cytosolic Phoshoprotein, Regulator of singlet Oxygen response 	
PHOT1	Cre03.g199000			Blue light receptor with kinase domain, regulation of choloroplast movement, phototaxsis	
UVR8	Cre05.g230600			UV-light receptor that associates with COP1 upon UV irradiation and tranlocates to the nucleas in A.th. 	
ELI1	Cre16.g679250			Responsible for HL growth in Cyanobacteria, Induced by UV-B	
