"from"	"to"	"weight"
"Cre12.g522400"	"Cre16.g679350"	0.0533667954269973
"Cre02.g110550"	"Cre07.g339300"	0.0517049281632365
"Cre17.g729750"	"Cre03.g195600"	0.0508686918970782
"Cre03.g162701"	"Cre13.g578700"	0.0503395646111336
"Cre17.g729750"	"Cre11.g467793"	0.0500705388990786
"Cre03.g189850"	"Cre12.g523340"	0.0478893420439259
"Cre02.g101500"	"Cre12.g554528"	0.0476166935795601
"Cre08.g361400"	"Cre16.g669650"	0.0470736713305835
"Cre02.g145550"	"Cre06.g281563"	0.0459206173320347
"Cre16.g673250"	"Cre01.g042750"	0.0455356829523401
"Cre07.g352600"	"Cre07.g357750"	0.0449271762252453
"Cre08.g361400"	"Cre08.g380700"	0.0448379445901255
"Cre04.g228400"	"Cre06.g278182"	0.0445330306801185
"Cre01.g010750"	"Cre02.g110550"	0.0439142789270588
"Cre02.g101500"	"Cre14.g624201"	0.0436147383462362
"Cre05.g233551"	"Cre08.g370050"	0.0432791766162907
"Cre16.g675700"	"Cre05.g243450"	0.0429049567338366
"Cre16.g674890"	"Cre10.g422800"	0.0419401548864115
"Cre02.g101500"	"Cre12.g493300"	0.0419340382391272
"Cre11.g467581"	"Cre12.g554528"	0.0419221858778409
"Cre01.g010750"	"Cre04.g225450"	0.0418717269667087
"Cre02.g101500"	"Cre08.g361100"	0.0417409847912161
"Cre02.g078831"	"Cre02.g146850"	0.0417369727163729
"Cre07.g340450"	"Cre02.g101500"	0.0415533147321221
"Cre08.g361400"	"Cre05.g233350"	0.0415278642609782
"Cre11.g467581"	"Cre13.g603250"	0.0415274518855751
"Cre05.g238250"	"Cre01.g033500"	0.0413949330705955
"Cre08.g361400"	"Cre03.g178650"	0.0413840258057128
"Cre12.g522400"	"Cre16.g651000"	0.0408166303623861
"Cre05.g238250"	"Cre17.g708800"	0.0408110638729744
"Cre02.g078831"	"Cre12.g522400"	0.0406578878404674
"Cre12.g517451"	"Cre14.g629800"	0.0403964306480506
"Cre16.g673250"	"Cre02.g145450"	0.0402349940113102
"Cre05.g238250"	"Cre09.g403450"	0.0399576973185177
"Cre02.g091550"	"Cre16.g647700"	0.0399269881835232
"Cre08.g361400"	"Cre04.g214350"	0.0399119081483414
"Cre07.g329650"	"Cre10.g456851"	0.0397756635692588
"Cre12.g522400"	"Cre01.g019450"	0.0395410649071516
"Cre06.g261450"	"Cre12.g537550"	0.0388280053227223
"Cre01.g010750"	"Cre10.g442300"	0.0387945938438512
"Cre02.g101500"	"Cre08.g359450"	0.0386602203903477
"Cre08.g361400"	"Cre12.g548702"	0.0386426965567605
"Cre10.g464750"	"Cre12.g499400"	0.0384965081798297
"Cre05.g233551"	"Cre12.g537550"	0.0384342423744799
"Cre08.g361400"	"Cre11.g483250"	0.0383307209810181
"Cre10.g418600"	"Cre13.g565290"	0.0383076947771512
"Cre08.g361400"	"Cre12.g554528"	0.0382635696562406
"Cre02.g078831"	"Cre09.g398900"	0.0381575760457179
