#pacId	locusName	transcriptName	peptideName	Pfam	Panther	ec	KOG	KO	GO	Best-hit-arabi-name	Best-hit-arabi-defline	Best-hit-rice-name	Best-hit-rice-defline
PAC:30789166	Cre01.g000017	Cre01.g000017.t1.1	Cre01.g000017.t1.1										
PAC:30788883	Cre01.g000033	Cre01.g000033.t1.1	Cre01.g000033.t1.1										
PAC:30788759	Cre01.g000050	Cre01.g000050.t1.1	Cre01.g000050.t1.1	PF02042	PTHR32002								
PAC:30789394	Cre01.g000100	Cre01.g000100.t1.1	Cre01.g000100.t1.1										
PAC:30789229	Cre01.g000150	Cre01.g000150.t1.2	Cre01.g000150.t1.2	PF02535	PTHR11040 PTHR11040:SF44			K14709	GO:0016020 GO:0030001 GO:0046873 GO:0055085				
PAC:30788431	Cre01.g000200	Cre01.g000200.t1.1	Cre01.g000200.t1.1		PTHR34407				GO:0016787				
PAC:30788448	Cre01.g000250	Cre01.g000250.t1.2	Cre01.g000250.t1.2	PF09335	PTHR12677 PTHR12677:SF5				GO:0016021				
PAC:30789049	Cre01.g000300	Cre01.g000300.t1.1	Cre01.g000300.t1.1	PF00561	PTHR10992 PTHR10992:SF702	EC:2.3.1.51	KOG4409	K13535		AT4G24160	alpha/beta-Hydrolases superfamily protein	LOC_Os09g34860	hydrolase, alpha/beta fold family domain containing protein, expressed
PAC:30788481	Cre01.g000350	Cre01.g000350.t1.1	Cre01.g000350.t1.1	PF00175	PTHR19370 PTHR19370:SF123	EC:1.14.13.12			GO:0016491 GO:0055114	AT1G15140	FAD/NAD(P)-binding oxidoreductase	LOC_Os02g22260	fruit protein PKIWI502, putative, expressed
PAC:30789110	Cre01.g000400	Cre01.g000400.t1.2	Cre01.g000400.t1.2	PF03407	PTHR10994 PTHR10994:SF61				GO:0005783				
PAC:30788617	Cre01.g000450	Cre01.g000450.t1.2	Cre01.g000450.t1.2	PF03407	PTHR10994 PTHR10994:SF61				GO:0005783				
PAC:30788357	Cre01.g000500	Cre01.g000500.t1.1	Cre01.g000500.t1.1	PF03407	PTHR10994 PTHR10994:SF61				GO:0005783				
PAC:30789177	Cre01.g000550	Cre01.g000550.t1.2	Cre01.g000550.t1.2	PF03407	PTHR10994 PTHR10994:SF61				GO:0005783				
PAC:30789603	Cre01.g000600	Cre01.g000600.t1.2	Cre01.g000600.t1.2	PF00400 PF08154	PTHR19848 PTHR19848:SF0			K14855	GO:0005515	AT5G52820	WD-40 repeat family protein / notchless protein, putative	LOC_Os10g01540	notchless protein, putative, expressed
PAC:30788868	Cre01.g000650	Cre01.g000650.t1.1	Cre01.g000650.t1.1	PF01179 PF02727 PF02728	PTHR10638 PTHR10638:SF18	EC:1.4.3.21	KOG1186	K00276	GO:0005507 GO:0008131 GO:0009308 GO:0048038 GO:0055114	AT2G42490	Copper amine oxidase family protein	LOC_Os04g40040	copper methylamine oxidase precursor, putative, expressed
PAC:30788738	Cre01.g000700	Cre01.g000700.t1.1	Cre01.g000700.t1.1	PF13639	PTHR14155 PTHR14155:SF170		KOG1493		GO:0005515 GO:0008270 GO:0042309 GO:0050825 GO:0050826			LOC_Os06g34390	zinc finger, C3HC4 type domain containing protein, expressed
PAC:30789450	Cre01.g000750	Cre01.g000750.t1.1	Cre01.g000750.t1.1	PF13920	PTHR14879	EC:6.3.2.19	KOG4172		GO:0005515 GO:0008270				
PAC:30788536	Cre01.g000800	Cre01.g000800.t1.2	Cre01.g000800.t1.2		PTHR36006 PTHR36006:SF2					AT1G78995			
PAC:30788537	Cre01.g000800	Cre01.g000800.t2.1	Cre01.g000800.t2.1		PTHR36006 PTHR36006:SF2					AT1G78995			
PAC:30789292	Cre01.g000850	Cre01.g000850.t1.2	Cre01.g000850.t1.2	PF11460	PTHR35734 PTHR35734:SF1					AT3G17930	(1 of 1) PF11460 - Protein of unknown function (DUF3007) (DUF3007)	LOC_Os01g59080	expressed protein
PAC:30788866	Cre01.g000900	Cre01.g000900.t1.2	Cre01.g000900.t1.2	PF07082	PTHR34127 PTHR34127:SF2					AT5G47860	Protein of unknown function (DUF1350)	LOC_Os04g33280	expressed protein
PAC:30789479	Cre01.g000950	Cre01.g000950.t1.1	Cre01.g000950.t1.1	PF07690	PTHR23505 PTHR23505:SF21		KOG1330		GO:0016021 GO:0055085				
PAC:30788363	Cre01.g001000	Cre01.g001000.t1.1	Cre01.g001000.t1.1						GO:0003824				
PAC:30788546	Cre01.g001100	Cre01.g001100.t1.2	Cre01.g001100.t1.2										
PAC:30789149	Cre01.g001150	Cre01.g001150.t1.1	Cre01.g001150.t1.1										
PAC:30789333	Cre01.g001200	Cre01.g001200.t1.1	Cre01.g001200.t1.1	PF07714	PTHR23257	EC:2.7.11.1			GO:0004672 GO:0004674 GO:0005524 GO:0006468 GO:0042309 GO:0050825 GO:0050826				
PAC:30788501	Cre01.g001250	Cre01.g001250.t1.2	Cre01.g001250.t1.2										
PAC:30789566	Cre01.g001300	Cre01.g001300.t1.1	Cre01.g001300.t1.1		PTHR19862 PTHR19862:SF14								
