Gene	ID5_5	transcript Regulated	unknown or postrranslational regulated	Process	Contained in BLAST_curated_JIN_TF.txt
HLA3	Cre02.g097800	LCR1	CAS	ABC Transporter (HCO3-)	
LCI1	Cre03.g162800	LCR1		no homologs in other species, PM -Protein (uknown substragte), Used as CCM bait protein in Mackinder et al. 	
LCIA	Cre06.g309000		CAS	formate/nitrite transporter family, localized at the chloroplast envelope (HCO3-), Used as CCM bait protein in Mackinder et al. 	
CAH3	Cre09.g415700		STT7	carbonic anhydrase, ?-type, thylakoid lumen, CO2 responsive, interacts with STT7(kinase involved in LHC2 phosphorilation)	
LCIB	Cre10.g452800			put. carbonic anhydrase, proposed to prevent CO2 leakage from the stroma in a complex with LCIC	
LCR1	Cre09.g399552	CIA5/CCM		Myeloid oncogene (Myb-) like TR	x
CCP1	Cre04.g223300			chlroplast envelop Protein, Used as CCM bait protein in Mackinder et al. 	
CAH1	Cre04.g223100	LCR1		carbonic anhydrase,  ?-type, periplasm, CO2 responsive	
CCP2	Cre04.g222750			Closely related to CCP1 (carbonic anhydrase?)	
LCID	Cre04.g222800			Very similar to LCIB (carbonic anhydrase?)	
CIA5/ CCM1	Cre02.g096300			TF regulating CO2 response,  not binding DNA itself	added
CAH2	Cre04.g223050			Carbonic anhydrase, ?-type, periplasm, Used as CCM bait protein in Mackinder et al. 	
CAH4	Cre05.g248400			Carbonic anhydrase, ?-type	
CAH5	Cre05.g248450			Carbonic anhydrase,  ?-type, mitochondrion, Used as CCM bait protein in Mackinder et al. 	
CAH6	Cre12.g485050			Carbonic anhydrase,  ?-type, stroma	
CAH7	Cre13.g607350			Carbonic anhydrase 7, ?-type	
CAH8	Cre09.g405750			Carbonic anhydrase 8, ?-type	
CAH9	Cre05.g243150			Carbonic anhydrase 9,  ?-type	
CAH10				Putative carbonic anhydrase, ?-type, bacterial transferase hexapeptide repeat, not CO2 responsive coupled with complex one of mitochondrikal electron transfer chain	
CAH11				Putative carbonic anhydrase, ?-type, bacterial transferase hexapeptide repeat,  mitochondrion, ot CO2 responsive coupled with complex one of mitochondrikal electron transfer	
CAH12				Putative carbonic anhydrase, ?-type, bacterial transferase hexapeptide repeat, ot CO2 responsive coupled with complex one of mitochondrikal electron transfer	
